name,description,price,imagePath,rating,reviews,brand,category_gender,category_type
Yellow Shirt,Radiate confidence in this sleek and modern shirt.,2200,wearables/Male/Shirts/br18nybv4vffzuexv0mk,4.2,"Grace Lee: This shirt is amazing, Quinn Taylor: The fit is perfect and the fabric feels great against the skin.",Engine,Men,Shirt
Yellow Shirt,Add a touch of romance to your wardrobe with this charming shirt.,1800,wearables/Male/Shirts/wyky8ixyitmuitok5icg,3.7,"David Smith: Love the design of this shirt, John Black: It's stylish and comfortable to wear all day long.",Outfitters,Men,Shirt
Orange Shirt,Stand out from the crowd in this unique and stylish shirt.,2500,wearables/Male/Shirts/yn9umpewkqbiqsrn77df,4.5,"Rachel Moore: Can't get enough of this shirt, Kate White: The quality is top-notch and it's become a staple in my wardrobe.",Outfitters,Men,Shirt
White Stripped Shirt,Experience luxury and comfort in this impeccably crafted shirt.,2200,wearables/Male/Shirts/xlnhsi8aioi2ss8hsdj2,3.8,"Quinn Taylor: Obsessed with the color of this shirt, Kate White: It's vibrant and eye-catching, perfect for any occasion.",Engine,Men,Shirt
White Shirt,Transition seamlessly from day to night with this versatile shirt.,1900,wearables/Male/Shirts/nhekurry6ktq34rk76sj,4.1,"David Smith: This shirt is a game-changer, Nick Jones: It's versatile enough to dress up or down, and the delivery was quick and easy.",Outfitters,Men,Shirt
Lilac Shirt,Stay cozy and relaxed in this soft and plush shirt.,1800,wearables/Male/Shirts/wqz2fgwkufhvlwtagmy6,4.8,"Mia Davis: Absolutely thrilled with this shirt, Harry White: The attention to detail in the stitching and design is impeccable.",Engine,Men,Shirt
Powder Blue Shirt,Embrace adventure in this rugged and durable shirt.,2200,wearables/Male/Shirts/ubi0d3pfdx9cnbxdhdfx,3.9,"Luke Brown: So happy with my purchase of this shirt, Emily Wilson: It's lightweight and breathable, perfect for warmer days.",Outfitters,Men,Shirt
Powder Blue Shirt,Achieve peak performance in this sporty and functional shirt.,2200,wearables/Male/Shirts/mv50btdfewzrprwfqmeo,4.4,"David Smith: Wow, this shirt exceeded my expectations, Frank Brown: The material is soft yet durable, and it washes well too.",Engine,Men,Shirt
Brown Stripped Shirt,Effortlessly blend style and comfort with this classic shirt.,2200,wearables/Male/Shirts/naeveywzw5bugsy0mibk,4.6,"Carol Thomas: This shirt is a definite must-have, Mia Davis: The fit is flattering and it's so easy to style with different outfits.",Furor,Men,Shirt
Green Shirt,Make a fashion statement with this bold and trendy shirt.,2500,wearables/Male/Shirts/em6emrmpsy1lbq53wbia,4,"Kate White: Love, love, love this shirt, Rachel Moore: It's trendy without being too flashy, and it arrived right on time.",Engine,Men,Shirt
White Shirt,Stay polished and professional with this refined shirt.,2400,wearables/Male/Shirts/h2ib2huir9j3ghs02oha,4.4,"Faris Shafi: This shirt is exactly what I was looking for, Talha Anjum: The delivery was smooth and hassle-free, loved it.",Engine,Men,Shirt
Purple Shirt ,Capture attention with this eye-catching and stylish shirt.,1900,wearables/Male/Shirts/hewtmewntzxbyso2g0bz,3.6,"Jane Smith: The quality of this shirt is unmatched, Dane Jones: It feels luxurious and looks even better in person.",Engine,Men,Shirt
Black Shirt,Indulge in luxury with this sumptuously soft shirt.,2200,wearables/Male/Shirts/jul9uzpw971i3kfzvwx9,4.9,"Luke Brown: Couldn't be happier with this shirt, Quinn Taylor: It's a perfect addition to my wardrobe and I've received so many compliments.",Outfitters,Men,Shirt
Black Shirt,Embrace your individuality with this uniquely designed shirt.,2400,wearables/Male/Shirts/qow0accqdt6rytqq25eq,3.5,"Rachel Moore: This shirt is a wardrobe essential, Lana White: The classic design makes it timeless and easy to pair with anything.",Furor,Men,Shirt
Purple Shirt ,Keep it casual yet stylish in this laid-back shirt.,2400,wearables/Male/Shirts/pqcpibwghzmaqbirkblp,3.3,"Frank Brown: So impressed with the craftsmanship of this shirt, Frank White: It's clear that attention to detail was a priority.",Engine,Men,Shirt
Beige Shirt,Showcase your personality with this expressive shirt.,2200,wearables/Male/Shirts/ieg8u5shyw8hwpp1q5cm,4.7,"This shirt is a real standout piece, The unique pattern catches the eye and adds personality to any outfit.",Furor,Men,Shirt
Black Shirt,Stay on-trend with this fashionable and modern shirt.,2300,wearables/Male/Shirts/jzxgrpsmsvjqgreey1jw,3.4,"Love the versatility of this shirt, It transitions seamlessly from day to night, making it a go-to choice for any occasion.",Engine,Men,Shirt
Cream Shirt,Upgrade your wardrobe with this sophisticated shirt.,1900,wearables/Male/Shirts/dysavmkuvuqbtsernejw,3.6,"Absolutely recommend this shirt, The fit is true to size and it's incredibly comfortable to wear.",Furor,Men,Shirt
Pink Shirt,Stay cozy and warm with this snug and comfortable shirt.,2200,wearables/Male/Shirts/plgxigvn1rxhw8fzfovl,4.2,"This shirt is perfect for layering, It's lightweight yet warm, making it ideal for unpredictable weather.",Engine,Men,Shirt
Beige Shirt,Exude confidence in this effortlessly cool shirt.,2300,wearables/Male/Shirts/gdrnmzipuvdrdnohze3c,4.1,"So happy with my purchase of this shirt, The color is exactly as pictured and it's held up well after multiple washes.",Furor,Men,Shirt
Lilac Shirt,Make a bold fashion statement with this striking shirt.,2400,wearables/Female/Shirts/c0oggxy0hopqlh1dwhzk,3.9,"This shirt is a great investment, The quality is evident and I can see it lasting for years to come.",Outfitters,Women,Shirt
Yellow Shirt,Enjoy all-day comfort in this lightweight and breathable shirt.,1800,wearables/Female/Shirts/rgoufiubxmyyuz73cei5,4.5,"Love the attention to detail in this shirt, From the button placement to the stitching, every aspect is well thought out.",Engine,Women,Shirt
Yellow Shirt,Channel timeless elegance with this beautifully tailored shirt.,2200,wearables/Female/Shirts/drzozhnwuehojy1w80dk,4.4,"This shirt is a definite conversation starter, I've had so many people ask me where I got it from.",Furor,Women,Shirt
Brown Shirt,Stand out from the crowd in this eye-catching and stylish shirt.,2300,wearables/Female/Shirts/srhoqss0lvnp0fsed0pl,4.8,"Can't wait to order more shirts from this brand, The customer service was exceptional and the delivery was fast.",Furor,Women,Shirt
